_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,id_rel,sentena_sem_relao,sentena_sem_relao:confidence,txt_rel,html,id_ent1,id_ent2,id_rel_gold,id_sent,id_txt,sentena_sem_relao_gold,txt_rel_gold ,agree
1293280376,False,finalized,3,7/6/2017 04:00:34,"-1 -1 22,23",True,0.6651,Sentença sem relação Sentença sem relação noticiados por,"<span data-id='0'>Os</span> <span data-id='1'>resultados</span> <span data-id='2'>de</span> <span data-id='3'>o</span> <span data-id='4'>trabalho</span> <span data-id='5'>,</span> <span data-id='6'>que</span> <span data-id='7'>tem</span> <span data-id='8'>como</span> <span data-id='9'>autores</span> <span data-id='10'>pesquisadores</span> <span data-id='11'>franceses</span> <span data-id='12'>e</span> <span data-id='13'>argentinos</span> <span data-id='14'>e</span> <span data-id='15'>o</span> <span data-id='16'>astrofísico</span> <span data-id='17'>brasileiro</span> <span data-id='18'class='per'>Irapuan_Rodrigues</span> <span data-id='19'class='word'>,</span> <span data-id='20'class='word'>haviam</span> <span data-id='21'class='word'>sido</span> <span data-id='22'class='word'>noticiados</span> <span data-id='23'class='word'>por</span> <span data-id='24'class='word'>a</span> <span data-id='25'class='org'>Folha</span> <span data-id='26-27'class='entity'>em março</span> <span data-id='28'>,</span> <span data-id='29'>antes</span> <span data-id='30'>de</span> <span data-id='31'>o</span> <span data-id='32'>estudo</span> <span data-id='33'>ser</span> <span data-id='34'>selecionado</span> <span data-id='35'>para</span> <span data-id='36'>publicação</span> <span data-id='37'>.</span> ",25,18,,S2,CIENCIA_2003_6472,, ,66
1293280377,False,finalized,3,7/6/2017 04:22:40,"21 21 21,23,24",False,1.0,de de de empresa farmacêutica,"<span data-id='0'>""</span> <span data-id='1'>Esse</span> <span data-id='2'>é</span> <span data-id='3'>um</span> <span data-id='4'>alvo</span> <span data-id='5'>viável</span> <span data-id='6'>para</span> <span data-id='7'>remédios</span> <span data-id='8'>contra</span> <span data-id='9'>a</span> <span data-id='10'>obesidade</span> <span data-id='11'>""</span> <span data-id='12'>,</span> <span data-id='13'>disse</span> <span data-id='14'>um</span> <span data-id='15'>de</span> <span data-id='16'>os</span> <span data-id='17'>autores</span> <span data-id='18'>,</span> <span data-id='19'class='per'>John_Clapham</span> <span data-id='20'class='word'>,</span> <span data-id='21'class='word'>de</span> <span data-id='22'class='word'>a</span> <span data-id='23'class='word'>empresa</span> <span data-id='24'class='word'>farmacêutica</span> <span data-id='25'class='org'>SmithKline_Beecham</span> <span data-id='26'>,</span> <span data-id='27'>que</span> <span data-id='28'>fez</span> <span data-id='29'>o</span> <span data-id='30'>estudo</span> <span data-id='31'>em</span> <span data-id='32'>colaboração</span> <span data-id='33'>com</span> <span data-id='34'>a</span> <span data-id='35'class='entity'>Universidade_de_Cambridge</span> <span data-id='36'>,</span> <span data-id='37'class='entity'>Reino_Unido</span> <span data-id='38'>.</span> ",25,19,,S18,CIENCIA_2000_17113,, ,66
1293280378,False,finalized,3,7/5/2017 21:33:23,"28,30,31,32,33 -1 -1",True,0.6651,fez estudo em colaboração com Sentença sem relação Sentença sem relação,"<span data-id='0'>""</span> <span data-id='1'>Esse</span> <span data-id='2'>é</span> <span data-id='3'>um</span> <span data-id='4'>alvo</span> <span data-id='5'>viável</span> <span data-id='6'>para</span> <span data-id='7'>remédios</span> <span data-id='8'>contra</span> <span data-id='9'>a</span> <span data-id='10'>obesidade</span> <span data-id='11'>""</span> <span data-id='12'>,</span> <span data-id='13'>disse</span> <span data-id='14'>um</span> <span data-id='15'>de</span> <span data-id='16'>os</span> <span data-id='17'>autores</span> <span data-id='18'>,</span> <span data-id='19'class='entity'>John_Clapham</span> <span data-id='20'>,</span> <span data-id='21'>de</span> <span data-id='22'>a</span> <span data-id='23'>empresa</span> <span data-id='24'>farmacêutica</span> <span data-id='25'class='org'>SmithKline_Beecham</span> <span data-id='26'class='word'>,</span> <span data-id='27'class='word'>que</span> <span data-id='28'class='word'>fez</span> <span data-id='29'class='word'>o</span> <span data-id='30'class='word'>estudo</span> <span data-id='31'class='word'>em</span> <span data-id='32'class='word'>colaboração</span> <span data-id='33'class='word'>com</span> <span data-id='34'class='word'>a</span> <span data-id='35'class='org'>Universidade_de_Cambridge</span> <span data-id='36'>,</span> <span data-id='37'class='entity'>Reino_Unido</span> <span data-id='38'>.</span> ",25,35,,S18,CIENCIA_2000_17113,, ,66
1293280383,False,finalized,3,7/5/2017 20:22:38,"-1 -1 9,10,11",True,0.6716,Sentença sem relação Sentença sem relação comitê central de,"<span data-id='0'>Segundo</span> <span data-id='1'>a</span> <span data-id='2'>agência</span> <span data-id='3'>de</span> <span data-id='4'>notícias</span> <span data-id='5'>oficial</span> <span data-id='6'class='org'>Xinhua</span> <span data-id='7'class='word'>,</span> <span data-id='8'class='word'>o</span> <span data-id='9'class='word'>comitê</span> <span data-id='10'class='word'>central</span> <span data-id='11'class='word'>de</span> <span data-id='12'class='word'>o</span> <span data-id='13'class='org'>Partido_Comunista_Chinês</span> <span data-id='14'>,</span> <span data-id='15'>após</span> <span data-id='16'>uma</span> <span data-id='17'>reunião</span> <span data-id='18'>,</span> <span data-id='19'>alertou</span> <span data-id='20'>as</span> <span data-id='21'>autoridades</span> <span data-id='22'>de</span> <span data-id='23'>saúde</span> <span data-id='24'>a</span> <span data-id='25'>não</span> <span data-id='26'>esconder</span> <span data-id='27'>casos</span> <span data-id='28'>de</span> <span data-id='29'>a</span> <span data-id='30'>pneumonia</span> <span data-id='31'>,</span> <span data-id='32'>conhecida</span> <span data-id='33'>por</span> <span data-id='34'>a</span> <span data-id='35'>sigla</span> <span data-id='36'class='entity'>Sars</span> <span data-id='37'>(</span> <span data-id='38'>síndrome</span> <span data-id='39'>respiratória</span> <span data-id='40'>aguda</span> <span data-id='41'>grave</span> <span data-id='42'>)</span> <span data-id='43'>.</span> ",6,13,,S1,CIENCIA_2003_6457,, ,66
1293280384,False,finalized,3,7/6/2017 06:04:27,"-1 12,13,14 -1",True,0.6716,Sentença sem relação ter dito que Sentença sem relação,<span data-id='0'>O</span> <span data-id='1'>encontro</span> <span data-id='2'>de</span> <span data-id='3'>o</span> <span data-id='4'>partido</span> <span data-id='5'>ocorreu</span> <span data-id='6'>um</span> <span data-id='7'>dia</span> <span data-id='8'>depois</span> <span data-id='9'>de</span> <span data-id='10'>a</span> <span data-id='11'class='org'>OMS</span> <span data-id='12'class='word'>ter</span> <span data-id='13'class='word'>dito</span> <span data-id='14'class='word'>que</span> <span data-id='15'class='per'>Pequim</span> <span data-id='16'>tem</span> <span data-id='17'class='entity'>200</span> <span data-id='18'>casos</span> <span data-id='19'>de</span> <span data-id='20'class='entity'>Sars</span> <span data-id='21'>em</span> <span data-id='22'>vez</span> <span data-id='23'>de</span> <span data-id='24'>os</span> <span data-id='25'class='entity'>37</span> <span data-id='26'>notificados</span> <span data-id='27'>.</span> ,11,15,,S3,CIENCIA_2003_6457,, ,66
1293280390,False,finalized,3,7/6/2017 06:04:27,"-1 21,22,23 -1",True,0.6716,Sentença sem relação enviou uma carta Sentença sem relação,"<span data-id='0'>Um</span> <span data-id='1'>grupo</span> <span data-id='2'>que</span> <span data-id='3'>reúne</span> <span data-id='4'class='entity'>13</span> <span data-id='5'>sociedades</span> <span data-id='6'>científicas</span> <span data-id='7'>nacionais</span> <span data-id='8'>,</span> <span data-id='9'>lideradas</span> <span data-id='10'>por</span> <span data-id='11'>a</span> <span data-id='12'class='org'>Academia_Brasileira_de_Ciências</span> <span data-id='13'class='word'>e</span> <span data-id='14'class='word'>por</span> <span data-id='15'class='word'>a</span> <span data-id='16'class='entity'>Associação_Nacional_de_Biossegurança</span> <span data-id='17'class='word'>(</span> <span data-id='18'class='entity'>ANBio</span> <span data-id='19'class='word'>)</span> <span data-id='20'class='word'>,</span> <span data-id='21'class='word'>enviou</span> <span data-id='22'class='word'>uma</span> <span data-id='23'class='word'>carta</span> <span data-id='24'class='word'>a</span> <span data-id='25'class='word'>o</span> <span data-id='26'class='org'>Senado_Federal</span> <span data-id='27'>para</span> <span data-id='28'>pedir</span> <span data-id='29'>mudanças</span> <span data-id='30'>em</span> <span data-id='31'>o</span> <span data-id='32'>projeto</span> <span data-id='33'>de</span> <span data-id='34'>a</span> <span data-id='35'>nova</span> <span data-id='36'class='entity'>Lei_de_Biossegurança</span> <span data-id='37'>,</span> <span data-id='38'>recentemente</span> <span data-id='39'>aprovado</span> <span data-id='40'>por</span> <span data-id='41'>a</span> <span data-id='42-45'class='entity'>Câmara de os Deputados</span> <span data-id='46'>.</span> ",12,26,,S0,CIENCIA_2004_6488,, ,66
1293280391,False,finalized,3,7/6/2017 03:58:54,"-1 -1 39,40",True,0.6651,Sentença sem relação Sentença sem relação aprovado por,"<span data-id='0'>Um</span> <span data-id='1'>grupo</span> <span data-id='2'>que</span> <span data-id='3'>reúne</span> <span data-id='4'class='entity'>13</span> <span data-id='5'>sociedades</span> <span data-id='6'>científicas</span> <span data-id='7'>nacionais</span> <span data-id='8'>,</span> <span data-id='9'>lideradas</span> <span data-id='10'>por</span> <span data-id='11'>a</span> <span data-id='12'class='org'>Academia_Brasileira_de_Ciências</span> <span data-id='13'class='word'>e</span> <span data-id='14'class='word'>por</span> <span data-id='15'class='word'>a</span> <span data-id='16'class='entity'>Associação_Nacional_de_Biossegurança</span> <span data-id='17'class='word'>(</span> <span data-id='18'class='entity'>ANBio</span> <span data-id='19'class='word'>)</span> <span data-id='20'class='word'>,</span> <span data-id='21'class='word'>enviou</span> <span data-id='22'class='word'>uma</span> <span data-id='23'class='word'>carta</span> <span data-id='24'class='word'>a</span> <span data-id='25'class='word'>o</span> <span data-id='26'class='entity'>Senado_Federal</span> <span data-id='27'class='word'>para</span> <span data-id='28'class='word'>pedir</span> <span data-id='29'class='word'>mudanças</span> <span data-id='30'class='word'>em</span> <span data-id='31'class='word'>o</span> <span data-id='32'class='word'>projeto</span> <span data-id='33'class='word'>de</span> <span data-id='34'class='word'>a</span> <span data-id='35'class='word'>nova</span> <span data-id='36'class='entity'>Lei_de_Biossegurança</span> <span data-id='37'class='word'>,</span> <span data-id='38'class='word'>recentemente</span> <span data-id='39'class='word'>aprovado</span> <span data-id='40'class='word'>por</span> <span data-id='41'class='word'>a</span> <span data-id='42-45'class='org'>Câmara de os Deputados</span> <span data-id='46'>.</span> ",12,42-45,,S0,CIENCIA_2004_6488,, ,66
1293280395,False,finalized,3,7/6/2017 04:02:00,"-1 21,22,23,24 -1",True,0.6849,Sentença sem relação enviou uma carta a Sentença sem relação,"<span data-id='0'>Um</span> <span data-id='1'>grupo</span> <span data-id='2'>que</span> <span data-id='3'>reúne</span> <span data-id='4'class='entity'>13</span> <span data-id='5'>sociedades</span> <span data-id='6'>científicas</span> <span data-id='7'>nacionais</span> <span data-id='8'>,</span> <span data-id='9'>lideradas</span> <span data-id='10'>por</span> <span data-id='11'>a</span> <span data-id='12'class='entity'>Academia_Brasileira_de_Ciências</span> <span data-id='13'>e</span> <span data-id='14'>por</span> <span data-id='15'>a</span> <span data-id='16'class='entity'>Associação_Nacional_de_Biossegurança</span> <span data-id='17'>(</span> <span data-id='18'class='org'>ANBio</span> <span data-id='19'class='word'>)</span> <span data-id='20'class='word'>,</span> <span data-id='21'class='word'>enviou</span> <span data-id='22'class='word'>uma</span> <span data-id='23'class='word'>carta</span> <span data-id='24'class='word'>a</span> <span data-id='25'class='word'>o</span> <span data-id='26'class='org'>Senado_Federal</span> <span data-id='27'>para</span> <span data-id='28'>pedir</span> <span data-id='29'>mudanças</span> <span data-id='30'>em</span> <span data-id='31'>o</span> <span data-id='32'>projeto</span> <span data-id='33'>de</span> <span data-id='34'>a</span> <span data-id='35'>nova</span> <span data-id='36'class='entity'>Lei_de_Biossegurança</span> <span data-id='37'>,</span> <span data-id='38'>recentemente</span> <span data-id='39'>aprovado</span> <span data-id='40'>por</span> <span data-id='41'>a</span> <span data-id='42-45'class='entity'>Câmara de os Deputados</span> <span data-id='46'>.</span> ",18,26,,S0,CIENCIA_2004_6488,, ,66
1293280396,False,finalized,3,7/6/2017 06:04:27,-1 -1 40,True,0.6567,Sentença sem relação Sentença sem relação por,"<span data-id='0'>Um</span> <span data-id='1'>grupo</span> <span data-id='2'>que</span> <span data-id='3'>reúne</span> <span data-id='4'class='entity'>13</span> <span data-id='5'>sociedades</span> <span data-id='6'>científicas</span> <span data-id='7'>nacionais</span> <span data-id='8'>,</span> <span data-id='9'>lideradas</span> <span data-id='10'>por</span> <span data-id='11'>a</span> <span data-id='12'class='entity'>Academia_Brasileira_de_Ciências</span> <span data-id='13'>e</span> <span data-id='14'>por</span> <span data-id='15'>a</span> <span data-id='16'class='entity'>Associação_Nacional_de_Biossegurança</span> <span data-id='17'>(</span> <span data-id='18'class='org'>ANBio</span> <span data-id='19'class='word'>)</span> <span data-id='20'class='word'>,</span> <span data-id='21'class='word'>enviou</span> <span data-id='22'class='word'>uma</span> <span data-id='23'class='word'>carta</span> <span data-id='24'class='word'>a</span> <span data-id='25'class='word'>o</span> <span data-id='26'class='entity'>Senado_Federal</span> <span data-id='27'class='word'>para</span> <span data-id='28'class='word'>pedir</span> <span data-id='29'class='word'>mudanças</span> <span data-id='30'class='word'>em</span> <span data-id='31'class='word'>o</span> <span data-id='32'class='word'>projeto</span> <span data-id='33'class='word'>de</span> <span data-id='34'class='word'>a</span> <span data-id='35'class='word'>nova</span> <span data-id='36'class='entity'>Lei_de_Biossegurança</span> <span data-id='37'class='word'>,</span> <span data-id='38'class='word'>recentemente</span> <span data-id='39'class='word'>aprovado</span> <span data-id='40'class='word'>por</span> <span data-id='41'class='word'>a</span> <span data-id='42-45'class='org'>Câmara de os Deputados</span> <span data-id='46'>.</span> ",18,42-45,,S0,CIENCIA_2004_6488,, ,66
1293280397,False,finalized,3,7/6/2017 09:24:19,"-1 39,40 -1",True,0.6446,Sentença sem relação aprovado por Sentença sem relação,"<span data-id='0'>Um</span> <span data-id='1'>grupo</span> <span data-id='2'>que</span> <span data-id='3'>reúne</span> <span data-id='4'class='entity'>13</span> <span data-id='5'>sociedades</span> <span data-id='6'>científicas</span> <span data-id='7'>nacionais</span> <span data-id='8'>,</span> <span data-id='9'>lideradas</span> <span data-id='10'>por</span> <span data-id='11'>a</span> <span data-id='12'class='entity'>Academia_Brasileira_de_Ciências</span> <span data-id='13'>e</span> <span data-id='14'>por</span> <span data-id='15'>a</span> <span data-id='16'class='entity'>Associação_Nacional_de_Biossegurança</span> <span data-id='17'>(</span> <span data-id='18'class='entity'>ANBio</span> <span data-id='19'>)</span> <span data-id='20'>,</span> <span data-id='21'>enviou</span> <span data-id='22'>uma</span> <span data-id='23'>carta</span> <span data-id='24'>a</span> <span data-id='25'>o</span> <span data-id='26'class='org'>Senado_Federal</span> <span data-id='27'class='word'>para</span> <span data-id='28'class='word'>pedir</span> <span data-id='29'class='word'>mudanças</span> <span data-id='30'class='word'>em</span> <span data-id='31'class='word'>o</span> <span data-id='32'class='word'>projeto</span> <span data-id='33'class='word'>de</span> <span data-id='34'class='word'>a</span> <span data-id='35'class='word'>nova</span> <span data-id='36'class='entity'>Lei_de_Biossegurança</span> <span data-id='37'class='word'>,</span> <span data-id='38'class='word'>recentemente</span> <span data-id='39'class='word'>aprovado</span> <span data-id='40'class='word'>por</span> <span data-id='41'class='word'>a</span> <span data-id='42-45'class='org'>Câmara de os Deputados</span> <span data-id='46'>.</span> ",26,42-45,,S0,CIENCIA_2004_6488,, ,66
